Date,Team,PTS,,Opp,PTS,,OT,Notes
Tue Oct 3 2023,Cedevita Olimpija,73,,Hapoel Tel Aviv,100,,,
Tue Oct 3 2023,Wolves Vilnius,78,,Paris Basketball,105,,,
Wed Oct 4 2023,Beşiktaş Emlakjet,63,,Joventut,62,,,
Wed Oct 4 2023,Umana Reyer Venezia,69,,London Lions,76,,,
Wed Oct 4 2023,Veolia Towers Hamburg,77,,Prometey,97,,,
Tue Oct 10 2023,Prometey,70,,Beşiktaş Emlakjet,92,,,
Tue Oct 10 2023,London Lions,100,,Veolia Towers Hamburg,94,,,
Wed Oct 11 2023,Joventut,88,,Cedevita Olimpija,87,,OT,
Wed Oct 11 2023,Wolves Vilnius,,,Hapoel Tel Aviv,,,,Postponed
Wed Oct 11 2023,Paris Basketball,81,,Umana Reyer Venezia,75,,,
Tue Oct 17 2023,Hapoel Tel Aviv,97,,Umana Reyer Venezia,81,,,
Tue Oct 17 2023,Hapoel Tel Aviv,,,Umana Reyer Venezia,,,,Postponed
Wed Oct 18 2023,Cedevita Olimpija,66,,Beşiktaş Emlakjet,73,,,
Wed Oct 18 2023,Wolves Vilnius,98,,Joventut,107,,OT,
Wed Oct 18 2023,Veolia Towers Hamburg,,,Paris Basketball,,,,Postponed
Wed Oct 18 2023,London Lions,99,,Prometey,87,,,
Wed Oct 18 2023,Paris Basketball,105,,Veolia Towers Hamburg,69,,,
Tue Oct 24 2023,Hapoel Tel Aviv,111,,Veolia Towers Hamburg,72,,,
Tue Oct 24 2023,Paris Basketball,106,,London Lions,102,,2OT,
Tue Oct 24 2023,Joventut,64,,Umana Reyer Venezia,79,,,
Tue Oct 24 2023,Beşiktaş Emlakjet,88,,Wolves Vilnius,90,,,
Wed Oct 25 2023,Prometey,90,,Cedevita Olimpija,83,,,
Tue Oct 31 2023,Wolves Vilnius,86,,Cedevita Olimpija,78,,,
Tue Oct 31 2023,Veolia Towers Hamburg,76,,Joventut,108,,,
Wed Nov 1 2023,Umana Reyer Venezia,68,,Beşiktaş Emlakjet,74,,,
Wed Nov 1 2023,London Lions,,,Hapoel Tel Aviv,,,,Postponed
Wed Nov 1 2023,Paris Basketball,96,,Prometey,79,,,
Thu Nov 2 2023,Hapoel Tel Aviv,98,,London Lions,90,,,
Tue Nov 7 2023,Cedevita Olimpija,87,,Umana Reyer Venezia,95,,,
Wed Nov 8 2023,Veolia Towers Hamburg,78,,Beşiktaş Emlakjet,90,,,
Wed Nov 8 2023,London Lions,87,,Joventut,76,,,
Wed Nov 8 2023,Joventut,,,London Lions,,,,Postponed
Wed Nov 8 2023,Hapoel Tel Aviv,87,,Paris Basketball,114,,,
Wed Nov 8 2023,Prometey,71,,Wolves Vilnius,85,,,
Tue Nov 14 2023,Hapoel Tel Aviv,89,,Prometey,98,,,
Tue Nov 14 2023,Paris Basketball,101,,Joventut,94,,OT,
Wed Nov 15 2023,London Lions,83,,Beşiktaş Emlakjet,80,,,
Wed Nov 15 2023,Veolia Towers Hamburg,86,,Cedevita Olimpija,83,,,
Wed Nov 15 2023,Umana Reyer Venezia,93,,Wolves Vilnius,77,,,
Tue Nov 21 2023,Wolves Vilnius,84,,Veolia Towers Hamburg,71,,,
Tue Nov 21 2023,Beşiktaş Emlakjet,68,,Paris Basketball,63,,,
Wed Nov 22 2023,Joventut,99,,Hapoel Tel Aviv,103,,,
Wed Nov 22 2023,Cedevita Olimpija,95,,London Lions,101,,,
Wed Nov 22 2023,Umana Reyer Venezia,82,,Prometey,89,,,
Tue Nov 28 2023,Veolia Towers Hamburg,77,,Umana Reyer Venezia,94,,,
Tue Nov 28 2023,London Lions,101,,Wolves Vilnius,87,,,
Wed Nov 29 2023,Hapoel Tel Aviv,,,Beşiktaş Emlakjet,,,,Postponed
Wed Nov 29 2023,Paris Basketball,93,,Cedevita Olimpija,77,,,
Wed Nov 29 2023,Prometey,76,,Joventut,79,,,
Wed Nov 29 2023,Beşiktaş Emlakjet,75,,Hapoel Tel Aviv,81,,,
Tue Dec 5 2023,Prometey,97,,Veolia Towers Hamburg,83,,,
Tue Dec 5 2023,London Lions,95,,Umana Reyer Venezia,91,,,
Wed Dec 6 2023,Joventut,85,,Beşiktaş Emlakjet,81,,,
