Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Oct 5 2023,Anadolu Efes,74,,Barcelona,91,,,
Thu Oct 5 2023,ALBA Berlin,68,,Bayern München,80,,,
Thu Oct 5 2023,Partizan Mozzart Bet,81,,Maccabi Playtika Tel Aviv,96,,,
Thu Oct 5 2023,LDLC ASVEL,73,,Crvena zvezda Meridianbet,94,,,
Thu Oct 5 2023,Žalgiris,82,,Virtus Segafredo Bologna,79,,,
Fri Oct 6 2023,Olympiacos,88,,Panathinaikos,78,,OT,
Fri Oct 6 2023,EA7 Emporio Armani Milano,82,,Fenerbahçe Beko,85,,OT,
Fri Oct 6 2023,AS Monaco,65,,Valencia Basket,70,,,
Fri Oct 6 2023,Real Madrid,79,,Baskonia,77,,,
Thu Oct 12 2023,Baskonia,91,,ALBA Berlin,86,,,
Thu Oct 12 2023,Real Madrid,103,,Anadolu Efes,80,,,
Thu Oct 12 2023,Maccabi Playtika Tel Aviv,,,EA7 Emporio Armani Milano,,,,Postponed
Thu Oct 12 2023,Bayern München,71,,Panathinaikos,78,,,
Thu Oct 12 2023,Partizan Mozzart Bet,88,,LDLC ASVEL,62,,,
Fri Oct 13 2023,Virtus Segafredo Bologna,83,,AS Monaco,59,,,
Fri Oct 13 2023,Barcelona,77,,Olympiacos,68,,,
Fri Oct 13 2023,Fenerbahçe Beko,74,,Valencia Basket,77,,,
Fri Oct 13 2023,Crvena zvezda Meridianbet,74,,Žalgiris,79,,,
Tue Oct 17 2023,LDLC ASVEL,84,,Anadolu Efes,89,,,
Tue Oct 17 2023,Olympiacos,53,,EA7 Emporio Armani Milano,65,,,
Tue Oct 17 2023,Barcelona,92,,Partizan Mozzart Bet,83,,,
Tue Oct 17 2023,Žalgiris,79,,Real Madrid,93,,,
Tue Oct 17 2023,Panathinaikos,69,,Fenerbahçe Beko,83,,,
Tue Oct 17 2023,Bayern München,76,,Baskonia,68,,,
Wed Oct 18 2023,Valencia Basket,,,Maccabi Playtika Tel Aviv,,,,Postponed
Wed Oct 18 2023,AS Monaco,82,,Crvena zvezda Meridianbet,76,,,
Wed Oct 18 2023,ALBA Berlin,76,,Virtus Segafredo Bologna,87,,,
Wed Oct 18 2023,Maccabi Playtika Tel Aviv,66,,Valencia Basket,75,,,
Thu Oct 19 2023,Partizan Mozzart Bet,94,,Olympiacos,98,,OT,
Thu Oct 19 2023,EA7 Emporio Armani Milano,71,,Real Madrid,88,,,
Thu Oct 19 2023,LDLC ASVEL,86,,Fenerbahçe Beko,101,,,
Thu Oct 19 2023,Žalgiris,99,,Baskonia,82,,,
Fri Oct 20 2023,Valencia Basket,73,,Anadolu Efes,77,,,
Fri Oct 20 2023,Bayern München,59,,Barcelona,98,,,
Fri Oct 20 2023,ALBA Berlin,75,,AS Monaco,86,,,
Fri Oct 20 2023,Maccabi Playtika Tel Aviv,86,,Panathinaikos,81,,OT,
Fri Oct 20 2023,Crvena zvezda Meridianbet,79,,Virtus Segafredo Bologna,85,,,
Thu Oct 26 2023,EA7 Emporio Armani Milano,82,,ALBA Berlin,85,,,
Thu Oct 26 2023,Maccabi Playtika Tel Aviv,79,,AS Monaco,107,,,
Thu Oct 26 2023,Anadolu Efes,57,,Olympiacos,75,,,
Thu Oct 26 2023,Crvena zvezda Meridianbet,86,,Partizan Mozzart Bet,88,,,
Thu Oct 26 2023,Barcelona,64,,Real Madrid,65,,,
Fri Oct 27 2023,Fenerbahçe Beko,76,,Bayern München,67,,,
Fri Oct 27 2023,Baskonia,81,,Panathinaikos,95,,,
Fri Oct 27 2023,Virtus Segafredo Bologna,87,,LDLC ASVEL,84,,,
Fri Oct 27 2023,Valencia Basket,87,,Žalgiris,72,,,
Tue Oct 31 2023,Maccabi Playtika Tel Aviv,98,,EA7 Emporio Armani Milano,90,,,
Thu Nov 2 2023,Real Madrid,,,Maccabi Playtika Tel Aviv,,,,Postponed
Thu Nov 2 2023,AS Monaco,72,,EA7 Emporio Armani Milano,66,,,
Thu Nov 2 2023,Bayern München,68,,Crvena zvezda Meridianbet,74,,,
Thu Nov 2 2023,Olympiacos,77,,Fenerbahçe Beko,79,,,
Thu Nov 2 2023,LDLC ASVEL,91,,Žalgiris,88,,,
Thu Nov 2 2023,ALBA Berlin,71,,Valencia Basket,79,,,
Fri Nov 3 2023,Panathinaikos,72,,Barcelona,80,,,
Fri Nov 3 2023,Anadolu Efes,81,,Virtus Segafredo Bologna,93,,,
Fri Nov 3 2023,Partizan Mozzart Bet,83,,Baskonia,84,,,
Thu Nov 9 2023,Žalgiris,82,,Anadolu Efes,86,,OT,
Thu Nov 9 2023,Bayern München,90,,Maccabi Playtika Tel Aviv,93,,,
Thu Nov 9 2023,Valencia Basket,52,,EA7 Emporio Armani Milano,83,,,
Thu Nov 9 2023,Baskonia,75,,Olympiacos,74,,,
Thu Nov 9 2023,Fenerbahçe Beko,84,,Partizan Mozzart Bet,85,,,
Thu Nov 9 2023,Virtus Segafredo Bologna,74,,Real Madrid,100,,,
Fri Nov 10 2023,Panathinaikos,99,,ALBA Berlin,85,,,
Fri Nov 10 2023,Crvena zvezda Meridianbet,81,,Barcelona,86,,,
Fri Nov 10 2023,LDLC ASVEL,70,,AS Monaco,80,,,
Tue Nov 14 2023,Olympiacos,79,,Maccabi Playtika Tel Aviv,74,,,
Tue Nov 14 2023,Anadolu Efes,89,,AS Monaco,82,,,
Tue Nov 14 2023,Fenerbahçe Beko,56,,Crvena zvezda Meridianbet,87,,,
Tue Nov 14 2023,Real Madrid,76,,Valencia Basket,73,,,
Tue Nov 14 2023,EA7 Emporio Armani Milano,79,,Virtus Segafredo Bologna,86,,,
Wed Nov 15 2023,LDLC ASVEL,73,,ALBA Berlin,68,,,
Wed Nov 15 2023,Partizan Mozzart Bet,85,,Bayern München,94,,,
Wed Nov 15 2023,Žalgiris,71,,Panathinaikos,73,,,
Wed Nov 15 2023,Barcelona,71,,Baskonia,94,,,
Thu Nov 16 2023,Anadolu Efes,76,,EA7 Emporio Armani Milano,92,,,
Thu Nov 16 2023,Crvena zvezda Meridianbet,83,,Olympiacos,88,,,
Thu Nov 16 2023,AS Monaco,73,,Real Madrid,91,,,
Thu Nov 16 2023,Maccabi Playtika Tel Aviv,,,Fenerbahçe Beko,,,,Postponed
Thu Nov 16 2023,Fenerbahçe Beko,73,,Maccabi Playtika Tel Aviv,78,,,
Fri Nov 17 2023,Valencia Basket,70,,Barcelona,74,,,
Fri Nov 17 2023,Virtus Segafredo Bologna,76,,Panathinaikos,90,,,
Fri Nov 17 2023,ALBA Berlin,74,,Partizan Mozzart Bet,89,,,
Fri Nov 17 2023,Baskonia,88,,LDLC ASVEL,81,,,
Fri Nov 17 2023,Bayern München,73,,Žalgiris,74,,,
Thu Nov 23 2023,Barcelona,92,,Maccabi Playtika Tel Aviv,90,,,
Thu Nov 23 2023,Valencia Basket,73,,Panathinaikos,90,,,
Thu Nov 23 2023,ALBA Berlin,75,,Real Madrid,99,,,
Thu Nov 23 2023,Bayern München,101,,LDLC ASVEL,100,,2OT,
Thu Nov 23 2023,Fenerbahçe Beko,79,,Virtus Segafredo Bologna,87,,,
Fri Nov 24 2023,Partizan Mozzart Bet,94,,Anadolu Efes,100,,,
Fri Nov 24 2023,Žalgiris,72,,Olympiacos,89,,,
Fri Nov 24 2023,EA7 Emporio Armani Milano,93,,Crvena zvezda Meridianbet,71,,,
Fri Nov 24 2023,AS Monaco,77,,Baskonia,75,,,
Tue Nov 28 2023,Real Madrid,99,,Maccabi Playtika Tel Aviv,70,,,
Thu Nov 30 2023,Virtus Segafredo Bologna,76,,Bayern München,90,,,
Thu Nov 30 2023,ALBA Berlin,81,,Maccabi Playtika Tel Aviv,102,,,
Thu Nov 30 2023,Olympiacos,77,,AS Monaco,85,,,
Thu Nov 30 2023,Panathinaikos,87,,Partizan Mozzart Bet,92,,OT,
Thu Nov 30 2023,Real Madrid,99,,Fenerbahçe Beko,100,,OT,
Thu Nov 30 2023,Žalgiris,83,,EA7 Emporio Armani Milano,70,,,
Fri Dec 1 2023,LDLC ASVEL,92,,Barcelona,101,,,
Fri Dec 1 2023,Anadolu Efes,83,,Crvena zvezda Meridianbet,97,,,
Fri Dec 1 2023,Baskonia,98,,Valencia Basket,84,,,
Tue Dec 5 2023,Žalgiris,62,,ALBA Berlin,64,,,
Tue Dec 5 2023,Panathinaikos,68,,Anadolu Efes,71,,,
Tue Dec 5 2023,EA7 Emporio Armani Milano,84,,Bayern München,91,,OT,
Tue Dec 5 2023,Real Madrid,77,,Olympiacos,71,,,
Tue Dec 5 2023,AS Monaco,85,,Partizan Mozzart Bet,89,,OT,
Wed Dec 6 2023,Crvena zvezda Meridianbet,81,,Valencia Basket,85,,,
Wed Dec 6 2023,Maccabi Playtika Tel Aviv,94,,LDLC ASVEL,91,,,
Wed Dec 6 2023,Barcelona,75,,Virtus Segafredo Bologna,80,,,
Wed Dec 6 2023,Fenerbahçe Beko,79,,Baskonia,80,,,
Thu Dec 7 2023,Anadolu Efes,97,,ALBA Berlin,89,,,
Thu Dec 7 2023,Real Madrid,90,,Panathinaikos,78,,,
Thu Dec 7 2023,EA7 Emporio Armani Milano,69,,Partizan Mozzart Bet,82,,,
Fri Dec 8 2023,Fenerbahçe Beko,81,,Barcelona,89,,,
Fri Dec 8 2023,Bayern München,69,,Olympiacos,77,,,
Fri Dec 8 2023,Valencia Basket,78,,LDLC ASVEL,55,,,
Fri Dec 8 2023,Maccabi Playtika Tel Aviv,90,,Virtus Segafredo Bologna,100,,,
Fri Dec 8 2023,Crvena zvezda Meridianbet,85,,Baskonia,87,,,
Fri Dec 8 2023,AS Monaco,83,,Žalgiris,79,,,
Thu Dec 14 2023,Maccabi Playtika Tel Aviv,,,Anadolu Efes,,,,Postponed
Thu Dec 14 2023,Bayern München,73,,Real Madrid,88,,,
Thu Dec 14 2023,Panathinaikos,89,,LDLC ASVEL,81,,,
Thu Dec 14 2023,Virtus Segafredo Bologna,91,,Baskonia,81,,,
Thu Dec 14 2023,Partizan Mozzart Bet,93,,Žalgiris,85,,,
Thu Dec 14 2023,ALBA Berlin,71,,Crvena zvezda Meridianbet,85,,,
Thu Dec 14 2023,Anadolu Efes,86,,Maccabi Playtika Tel Aviv,95,,,
Fri Dec 15 2023,EA7 Emporio Armani Milano,90,,Barcelona,86,,,
Fri Dec 15 2023,Valencia Basket,63,,Olympiacos,56,,,
Fri Dec 15 2023,AS Monaco,74,,Fenerbahçe Beko,86,,,
Tue Dec 19 2023,Barcelona,70,,ALBA Berlin,74,,,
Tue Dec 19 2023,Baskonia,81,,Maccabi Playtika Tel Aviv,89,,,
Tue Dec 19 2023,Real Madrid,72,,Crvena zvezda Meridianbet,58,,,
Tue Dec 19 2023,Partizan Mozzart Bet,72,,Valencia Basket,67,,,
Tue Dec 19 2023,Olympiacos,67,,Virtus Segafredo Bologna,69,,,
Wed Dec 20 2023,Anadolu Efes,71,,Bayern München,86,,,
Wed Dec 20 2023,LDLC ASVEL,61,,EA7 Emporio Armani Milano,84,,,
Wed Dec 20 2023,Panathinaikos,91,,AS Monaco,90,,,
Wed Dec 20 2023,Žalgiris,78,,Fenerbahçe Beko,80,,,
Thu Dec 21 2023,Crvena zvezda Meridianbet,98,,Maccabi Playtika Tel Aviv,92,,,
Thu Dec 21 2023,Partizan Mozzart Bet,75,,Real Madrid,91,,,
Thu Dec 21 2023,Virtus Segafredo Bologna,71,,Valencia Basket,79,,,
Fri Dec 22 2023,Fenerbahçe Beko,91,,ALBA Berlin,82,,,
Fri Dec 22 2023,Baskonia,87,,Anadolu Efes,80,,,
Fri Dec 22 2023,AS Monaco,91,,Bayern München,80,,,
Fri Dec 22 2023,Panathinaikos,76,,EA7 Emporio Armani Milano,68,,,
Fri Dec 22 2023,Olympiacos,85,,LDLC ASVEL,73,,,
