Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Sep 30 2023,Vanoli Basket Cremona,84,,Dolomiti Energia Trento,91,,,
Sun Oct 1 2023,Carpegna Prosciutto Pesaro,79,,Germani Basket Brescia,81,,,
Sun Oct 1 2023,NutriBullet Treviso Basket,80,,EA7 Emporio Armani Milano,86,,,
Sun Oct 1 2023,GeVi Napoli Basket,111,,Banco di Sardegna Sassari,90,,,
Sun Oct 1 2023,Virtus Segafredo Bologna,81,,Givova Scafati,75,,,
Sun Oct 1 2023,Bertram Derthona Tortona,60,,Umana Reyer Venezia,76,,,
Wed Oct 4 2023,UNAHOTELS Reggio Emilia,87,,Happy Casa Brindisi,63,,,
Wed Oct 4 2023,Estra Pistoia,82,,Openjobmetis Varese,83,,,
Sat Oct 7 2023,Germani Basket Brescia,99,,NutriBullet Treviso Basket,71,,,
Sun Oct 8 2023,Banco di Sardegna Sassari,74,,Vanoli Basket Cremona,86,,,
Sun Oct 8 2023,EA7 Emporio Armani Milano,68,,GeVi Napoli Basket,77,,,
Sun Oct 8 2023,Umana Reyer Venezia,76,,Carpegna Prosciutto Pesaro,64,,,
Sun Oct 8 2023,Dolomiti Energia Trento,78,,Estra Pistoia,73,,,
Sun Oct 8 2023,Givova Scafati,77,,UNAHOTELS Reggio Emilia,85,,,
Sun Oct 8 2023,Happy Casa Brindisi,68,,Bertram Derthona Tortona,69,,,
Sun Oct 8 2023,Openjobmetis Varese,84,,Virtus Segafredo Bologna,115,,,
Sat Oct 14 2023,Carpegna Prosciutto Pesaro,81,,Happy Casa Brindisi,68,,,
Sat Oct 14 2023,UNAHOTELS Reggio Emilia,68,,EA7 Emporio Armani Milano,79,,,
Sat Oct 14 2023,NutriBullet Treviso Basket,76,,Banco di Sardegna Sassari,80,,,
Sat Oct 14 2023,Vanoli Basket Cremona,76,,Umana Reyer Venezia,79,,,
Sun Oct 15 2023,GeVi Napoli Basket,71,,Germani Basket Brescia,80,,,
Sun Oct 15 2023,Estra Pistoia,77,,Givova Scafati,85,,,
Sun Oct 15 2023,Virtus Segafredo Bologna,90,,Dolomiti Energia Trento,75,,,
Sun Oct 15 2023,Bertram Derthona Tortona,80,,Openjobmetis Varese,78,,,
Sat Oct 21 2023,UNAHOTELS Reggio Emilia,95,,Vanoli Basket Cremona,91,,,
Sun Oct 22 2023,Happy Casa Brindisi,71,,GeVi Napoli Basket,90,,,
Sun Oct 22 2023,Givova Scafati,107,,Carpegna Prosciutto Pesaro,103,,OT,
Sun Oct 22 2023,Germani Basket Brescia,84,,Estra Pistoia,72,,,
Sun Oct 22 2023,EA7 Emporio Armani Milano,79,,Bertram Derthona Tortona,75,,,
Sun Oct 22 2023,Umana Reyer Venezia,82,,NutriBullet Treviso Basket,77,,,
Sun Oct 22 2023,Dolomiti Energia Trento,85,,Openjobmetis Varese,84,,,
Sun Oct 22 2023,Banco di Sardegna Sassari,66,,Virtus Segafredo Bologna,80,,,
Sat Oct 28 2023,Dolomiti Energia Trento,90,,Germani Basket Brescia,82,,,
Sat Oct 28 2023,Bertram Derthona Tortona,94,,Banco di Sardegna Sassari,74,,,
Sun Oct 29 2023,Estra Pistoia,78,,Happy Casa Brindisi,72,,,
Sun Oct 29 2023,Carpegna Prosciutto Pesaro,90,,EA7 Emporio Armani Milano,82,,,
Sun Oct 29 2023,NutriBullet Treviso Basket,83,,UNAHOTELS Reggio Emilia,90,,,
Sun Oct 29 2023,Vanoli Basket Cremona,122,,Givova Scafati,112,,2OT,
Sun Oct 29 2023,Openjobmetis Varese,88,,Umana Reyer Venezia,102,,,
Mon Oct 30 2023,Virtus Segafredo Bologna,88,,GeVi Napoli Basket,75,,,
Sat Nov 4 2023,GeVi Napoli Basket,97,,Carpegna Prosciutto Pesaro,77,,,
Sun Nov 5 2023,EA7 Emporio Armani Milano,87,,Happy Casa Brindisi,57,,,
Sun Nov 5 2023,Virtus Segafredo Bologna,83,,Vanoli Basket Cremona,93,,,
Sun Nov 5 2023,Umana Reyer Venezia,77,,Estra Pistoia,85,,,
Sun Nov 5 2023,Germani Basket Brescia,87,,Bertram Derthona Tortona,59,,,
Sun Nov 5 2023,UNAHOTELS Reggio Emilia,88,,Dolomiti Energia Trento,98,,,
Sun Nov 5 2023,Givova Scafati,97,,NutriBullet Treviso Basket,87,,,
Sun Nov 5 2023,Banco di Sardegna Sassari,79,,Openjobmetis Varese,90,,,
Sat Nov 11 2023,Openjobmetis Varese,96,,GeVi Napoli Basket,97,,,
Sat Nov 11 2023,NutriBullet Treviso Basket,77,,Virtus Segafredo Bologna,91,,,
Sun Nov 12 2023,Vanoli Basket Cremona,75,,Germani Basket Brescia,84,,,
Sun Nov 12 2023,Bertram Derthona Tortona,92,,Carpegna Prosciutto Pesaro,96,,,
Sun Nov 12 2023,Estra Pistoia,82,,UNAHOTELS Reggio Emilia,95,,,
Sun Nov 12 2023,Dolomiti Energia Trento,73,,Banco di Sardegna Sassari,80,,,
Sun Nov 12 2023,EA7 Emporio Armani Milano,68,,Givova Scafati,77,,,
Sun Nov 12 2023,Happy Casa Brindisi,71,,Umana Reyer Venezia,79,,,
Sat Nov 18 2023,Happy Casa Brindisi,71,,Dolomiti Energia Trento,81,,,
Sun Nov 19 2023,Carpegna Prosciutto Pesaro,69,,Vanoli Basket Cremona,96,,,
Sun Nov 19 2023,Umana Reyer Venezia,72,,EA7 Emporio Armani Milano,95,,,
Sun Nov 19 2023,Banco di Sardegna Sassari,63,,Estra Pistoia,68,,,
Sun Nov 19 2023,Bertram Derthona Tortona,90,,UNAHOTELS Reggio Emilia,77,,,
Sun Nov 19 2023,GeVi Napoli Basket,79,,NutriBullet Treviso Basket,76,,,
Sun Nov 19 2023,Givova Scafati,93,,Openjobmetis Varese,94,,,
Mon Nov 20 2023,Germani Basket Brescia,76,,Virtus Segafredo Bologna,88,,,
Sat Nov 25 2023,Givova Scafati,76,,Banco di Sardegna Sassari,79,,,
Sun Nov 26 2023,Openjobmetis Varese,73,,Germani Basket Brescia,116,,,
Sun Nov 26 2023,Virtus Segafredo Bologna,75,,Happy Casa Brindisi,83,,,
Sun Nov 26 2023,Estra Pistoia,86,,EA7 Emporio Armani Milano,81,,,
