Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Sep 23 2023,UCAM Murcia,104,,Covirán Granada,101,,OT,
Sat Sep 23 2023,Zunder Palencia,64,,Monbus Obradoiro,84,,,
Sat Sep 23 2023,Lenovo Tenerife,75,,Unicaja,98,,,
Sat Sep 23 2023,Bàsquet Girona,89,,Valencia Basket,85,,,
Sun Sep 24 2023,Joventut,79,,Barça,95,,,
Sun Sep 24 2023,MoraBanc Andorra,73,,Surne Bilbao Basket,95,,,
Sun Sep 24 2023,Baskonia,88,,Río Breogán,79,,,
Sun Sep 24 2023,Baxi Manresa,92,,Dreamland Gran Canaria,97,,,
Sun Sep 24 2023,Casademont Zaragoza,70,,Real Madrid,101,,,
Wed Sep 27 2023,Valencia Basket,94,,Lenovo Tenerife,86,,,
Wed Sep 27 2023,Baskonia,76,,UCAM Murcia,88,,,
Wed Sep 27 2023,Unicaja,92,,Casademont Zaragoza,100,,,
Thu Sep 28 2023,Dreamland Gran Canaria,64,,Bàsquet Girona,88,,,
Thu Sep 28 2023,Covirán Granada,80,,Joventut,86,,,
Fri Sep 29 2023,Río Breogán,69,,MoraBanc Andorra,63,,,
Fri Sep 29 2023,Real Madrid,94,,Baxi Manresa,88,,,
Fri Sep 29 2023,Barça,84,,Zunder Palencia,83,,OT,
Sat Sep 30 2023,Lenovo Tenerife,68,,UCAM Murcia,80,,,
Sat Sep 30 2023,Valencia Basket,82,,Unicaja,76,,,
Sat Sep 30 2023,Surne Bilbao Basket,72,,Baskonia,92,,,
Sun Oct 1 2023,Zunder Palencia,74,,MoraBanc Andorra,87,,,
Sun Oct 1 2023,Baxi Manresa,89,,Río Breogán,85,,OT,
Sun Oct 1 2023,Bàsquet Girona,102,,Covirán Granada,91,,,
Sun Oct 1 2023,Dreamland Gran Canaria,75,,Joventut,89,,,
Sun Oct 1 2023,Barça,79,,Real Madrid,86,,,
Wed Oct 4 2023,Surne Bilbao Basket,78,,Monbus Obradoiro,77,,,
Sat Oct 7 2023,Río Breogán,81,,Lenovo Tenerife,88,,OT,
Sat Oct 7 2023,Casademont Zaragoza,75,,Baxi Manresa,81,,,
Sat Oct 7 2023,Joventut,75,,Zunder Palencia,69,,,
Sun Oct 8 2023,MoraBanc Andorra,87,,Barça,91,,,
Sun Oct 8 2023,Real Madrid,93,,Bàsquet Girona,74,,,
Sun Oct 8 2023,UCAM Murcia,68,,Surne Bilbao Basket,77,,,
Sun Oct 8 2023,Baskonia,90,,Covirán Granada,81,,,
Sun Oct 8 2023,Unicaja,69,,Dreamland Gran Canaria,76,,,
Sun Oct 8 2023,Monbus Obradoiro,79,,Valencia Basket,85,,,
Wed Oct 11 2023,Casademont Zaragoza,72,,Monbus Obradoiro,80,,,
Sat Oct 14 2023,Monbus Obradoiro,89,,MoraBanc Andorra,92,,,
Sat Oct 14 2023,Lenovo Tenerife,79,,Bàsquet Girona,66,,,
Sat Oct 14 2023,Covirán Granada,93,,Surne Bilbao Basket,94,,,
