Date,Team,PTS,Opp,PTS_Opp,Weight
2023-09-23,UCAM Murcia,104.0,Covirán Granada,101.0,0.5
2023-09-23,Zunder Palencia,64.0,Monbus Obradoiro,84.0,0.5
2023-09-23,Lenovo Tenerife,75.0,Unicaja,98.0,0.5
2023-09-23,Bàsquet Girona,89.0,Valencia Basket,85.0,0.5
2023-09-24,Joventut,79.0,Barça,95.0,0.5
2023-09-24,MoraBanc Andorra,73.0,Surne Bilbao Basket,95.0,0.5
2023-09-24,Baskonia,88.0,Río Breogán,79.0,0.5
2023-09-24,Baxi Manresa,92.0,Dreamland Gran Canaria,97.0,0.5
2023-09-24,Casademont Zaragoza,70.0,Real Madrid,101.0,0.5
2023-09-27,Valencia Basket,94.0,Lenovo Tenerife,86.0,0.5
2023-09-27,Baskonia,76.0,UCAM Murcia,88.0,0.5
2023-09-27,Unicaja,92.0,Casademont Zaragoza,100.0,0.5
2023-09-28,Covirán Granada,80.0,Joventut,86.0,0.5
2023-09-28,Dreamland Gran Canaria,64.0,Bàsquet Girona,88.0,0.5
2023-09-29,Río Breogán,69.0,MoraBanc Andorra,63.0,0.5
2023-09-29,Real Madrid,94.0,Baxi Manresa,88.0,0.5
2023-09-29,Barça,84.0,Zunder Palencia,83.0,0.5
2023-09-30,Lenovo Tenerife,68.0,UCAM Murcia,80.0,0.5
2023-09-30,Valencia Basket,82.0,Unicaja,76.0,0.5
2023-09-30,Surne Bilbao Basket,72.0,Baskonia,92.0,0.5
2023-10-01,Zunder Palencia,74.0,MoraBanc Andorra,87.0,0.5
2023-10-01,Baxi Manresa,89.0,Río Breogán,85.0,0.5
2023-10-01,Bàsquet Girona,102.0,Covirán Granada,91.0,0.5
2023-10-01,Dreamland Gran Canaria,75.0,Joventut,89.0,0.5
2023-10-01,Barça,79.0,Real Madrid,86.0,0.5
2023-10-03,Wolves Vilnius,78.0,Paris Basketball,105.0,1.0
2023-10-03,Cedevita Olimpija,73.0,Hapoel Tel Aviv,100.0,1.0
2023-10-04,Beşiktaş Emlakjet,63.0,Joventut,62.0,1.0
2023-10-04,Surne Bilbao Basket,78.0,Monbus Obradoiro,77.0,0.5
2023-10-04,Umana Reyer Venezia,69.0,London Lions,76.0,1.0
2023-10-04,Veolia Towers Hamburg,77.0,Prometey,97.0,1.0
2023-10-07,Casademont Zaragoza,75.0,Baxi Manresa,81.0,0.5
2023-10-07,Joventut,75.0,Zunder Palencia,69.0,0.5
2023-10-07,Río Breogán,81.0,Lenovo Tenerife,88.0,0.5
2023-10-08,MoraBanc Andorra,87.0,Barça,91.0,0.5
2023-10-08,Real Madrid,93.0,Bàsquet Girona,74.0,0.5
2023-10-08,UCAM Murcia,68.0,Surne Bilbao Basket,77.0,0.5
2023-10-08,Baskonia,90.0,Covirán Granada,81.0,0.5
2023-10-08,Unicaja,69.0,Dreamland Gran Canaria,76.0,0.5
2023-10-08,Monbus Obradoiro,79.0,Valencia Basket,85.0,0.5
2023-10-10,London Lions,100.0,Veolia Towers Hamburg,94.0,1.0
2023-10-10,Prometey,70.0,Beşiktaş Emlakjet,92.0,1.0
2023-10-11,Joventut,88.0,Cedevita Olimpija,87.0,1.0
2023-10-11,Paris Basketball,81.0,Umana Reyer Venezia,75.0,1.0
2023-10-11,Wolves Vilnius,,Hapoel Tel Aviv,,1.0
2023-10-11,Casademont Zaragoza,72.0,Monbus Obradoiro,80.0,0.5
2023-10-14,Lenovo Tenerife,79.0,Bàsquet Girona,66.0,0.5
2023-10-14,Monbus Obradoiro,89.0,MoraBanc Andorra,92.0,0.5
2023-10-14,Joventut,91.0,Unicaja,113.0,0.5
2023-10-14,Covirán Granada,93.0,Surne Bilbao Basket,94.0,0.5
2023-10-15,UCAM Murcia,92.0,Real Madrid,106.0,0.5
2023-10-15,Baskonia,85.0,Casademont Zaragoza,80.0,0.5
2023-10-15,Zunder Palencia,91.0,Baxi Manresa,92.0,0.5
2023-10-15,Barça,83.0,Dreamland Gran Canaria,73.0,0.5
2023-10-15,Valencia Basket,61.0,Río Breogán,59.0,0.5
2023-10-17,Hapoel Tel Aviv,,Umana Reyer Venezia,,1.0
2023-10-17,Hapoel Tel Aviv,97.0,Umana Reyer Venezia,81.0,1.0
2023-10-18,Paris Basketball,105.0,Veolia Towers Hamburg,69.0,1.0
2023-10-18,London Lions,99.0,Prometey,87.0,1.0
2023-10-18,Veolia Towers Hamburg,,Paris Basketball,,1.0
2023-10-18,Wolves Vilnius,98.0,Joventut,107.0,1.0
2023-10-18,Cedevita Olimpija,66.0,Beşiktaş Emlakjet,73.0,1.0
2023-10-21,MoraBanc Andorra,94.0,Joventut,84.0,0.5
2023-10-21,Dreamland Gran Canaria,69.0,UCAM Murcia,95.0,0.5
2023-10-21,Bàsquet Girona,79.0,Monbus Obradoiro,85.0,0.5
2023-10-21,Río Breogán,59.0,Zunder Palencia,74.0,0.5
2023-10-22,Casademont Zaragoza,70.0,Covirán Granada,78.0,0.5
2023-10-22,Unicaja,93.0,Baskonia,84.0,0.5
2023-10-22,Real Madrid,82.0,Lenovo Tenerife,76.0,0.5
2023-10-22,Surne Bilbao Basket,82.0,Barça,91.0,0.5
2023-10-22,Baxi Manresa,79.0,Valencia Basket,84.0,0.5
2023-10-24,Beşiktaş Emlakjet,88.0,Wolves Vilnius,90.0,1.0
2023-10-24,Paris Basketball,106.0,London Lions,102.0,1.0
2023-10-24,Hapoel Tel Aviv,111.0,Veolia Towers Hamburg,72.0,1.0
2023-10-24,Joventut,64.0,Umana Reyer Venezia,79.0,1.0
2023-10-25,Prometey,90.0,Cedevita Olimpija,83.0,1.0
2023-10-28,Joventut,83.0,Casademont Zaragoza,113.0,0.5
2023-10-28,Río Breogán,70.0,Unicaja,87.0,0.5
2023-10-28,UCAM Murcia,76.0,Bàsquet Girona,82.0,0.5
2023-10-28,Monbus Obradoiro,80.0,Dreamland Gran Canaria,87.0,0.5
2023-10-29,Zunder Palencia,68.0,Real Madrid,91.0,0.5
2023-10-29,Barça,68.0,Valencia Basket,71.0,0.5
2023-10-29,Baskonia,68.0,MoraBanc Andorra,85.0,0.5
2023-10-29,Lenovo Tenerife,94.0,Surne Bilbao Basket,93.0,0.5
