Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Sep 16 2023,BCM Gravelines-Dunkerque,73,,Blois,81,,,
Sat Sep 16 2023,Chorale Roanne Basket,86,,Cholet Basket,90,,,
Sat Sep 16 2023,JL Bourg,99,,ESSM Le Portel,66,,,
Sat Sep 16 2023,AS Monaco,72,,Limoges CSP,59,,,
Sat Sep 16 2023,Élan Sportif Chalonnais,83,,SLUC Nancy Basket,92,,,
Sat Sep 16 2023,Saint-Quentin Basketball,73,,Metropolitans 92,69,,,
Sun Sep 17 2023,Jeanne d'Arc Dijon Basket,64,,Paris Basketball,81,,,
Sun Sep 17 2023,Nanterre 92,57,,SIG Strasbourg,71,,,
Sun Sep 17 2023,Le Mans Sarthe Basket,75,,LDLC ASVEL,89,,,
Sat Sep 23 2023,Metropolitans 92,73,,JL Bourg,94,,,
Sat Sep 23 2023,LDLC ASVEL,79,,BCM Gravelines-Dunkerque,74,,,
Sat Sep 23 2023,Blois,96,,Le Mans Sarthe Basket,110,,,
Sat Sep 23 2023,SLUC Nancy Basket,80,,Chorale Roanne Basket,107,,,
Sat Sep 23 2023,Paris Basketball,81,,Saint-Quentin Basketball,65,,,
Sat Sep 23 2023,Limoges CSP,87,,SIG Strasbourg,80,,,
Sun Sep 24 2023,AS Monaco,104,,Élan Sportif Chalonnais,68,,,
Sun Sep 24 2023,Cholet Basket,62,,Jeanne d'Arc Dijon Basket,60,,,
Sun Sep 24 2023,ESSM Le Portel,88,,Nanterre 92,109,,,
Tue Sep 26 2023,JL Bourg,93,,Blois,102,,,
Tue Sep 26 2023,Saint-Quentin Basketball,75,,AS Monaco,77,,,
Tue Sep 26 2023,Jeanne d'Arc Dijon Basket,56,,SLUC Nancy Basket,66,,,
Tue Sep 26 2023,Chorale Roanne Basket,77,,Nanterre 92,83,,,
Wed Sep 27 2023,Élan Sportif Chalonnais,83,,BCM Gravelines-Dunkerque,81,,,
Wed Sep 27 2023,LDLC ASVEL,101,,ESSM Le Portel,66,,,
Wed Sep 27 2023,Le Mans Sarthe Basket,71,,Paris Basketball,112,,,
Wed Sep 27 2023,Limoges CSP,90,,Metropolitans 92,67,,,
Sat Sep 30 2023,Nanterre 92,89,,Blois,78,,,
Sat Sep 30 2023,BCM Gravelines-Dunkerque,82,,JL Bourg,90,,,
Sat Sep 30 2023,SLUC Nancy Basket,,,Cholet Basket,,,,Postponed
Sat Sep 30 2023,ESSM Le Portel,67,,Le Mans Sarthe Basket,73,,,
Sat Sep 30 2023,Paris Basketball,83,,Limoges CSP,65,,,
Sat Sep 30 2023,Saint-Quentin Basketball,,,SIG Strasbourg,,,,Postponed
Sun Oct 1 2023,Metropolitans 92,54,,Jeanne d'Arc Dijon Basket,94,,,
Sun Oct 1 2023,Élan Sportif Chalonnais,93,,Chorale Roanne Basket,82,,,
Sun Oct 1 2023,AS Monaco,87,,LDLC ASVEL,79,,,
Tue Oct 3 2023,Limoges CSP,83,,BCM Gravelines-Dunkerque,79,,,
Tue Oct 3 2023,Jeanne d'Arc Dijon Basket,74,,AS Monaco,88,,,
Tue Oct 3 2023,LDLC ASVEL,71,,Saint-Quentin Basketball,91,,,
Tue Oct 3 2023,JL Bourg,83,,SIG Strasbourg,65,,,
Wed Oct 4 2023,ESSM Le Portel,65,,Élan Sportif Chalonnais,94,,,
Wed Oct 4 2023,Le Mans Sarthe Basket,81,,Nanterre 92,93,,,
Wed Oct 4 2023,Cholet Basket,92,,Metropolitans 92,78,,,
Wed Oct 4 2023,Blois,81,,Chorale Roanne Basket,83,,,
Thu Oct 5 2023,Paris Basketball,78,,SLUC Nancy Basket,81,,,
Sat Oct 7 2023,Nanterre 92,67,,JL Bourg,85,,,
Sat Oct 7 2023,BCM Gravelines-Dunkerque,69,,Jeanne d'Arc Dijon Basket,90,,,
Sat Oct 7 2023,SIG Strasbourg,78,,Le Mans Sarthe Basket,86,,,
Sat Oct 7 2023,Chorale Roanne Basket,76,,ESSM Le Portel,91,,,
Sat Oct 7 2023,Blois,78,,Limoges CSP,86,,,
Sat Oct 7 2023,Élan Sportif Chalonnais,70,,Saint-Quentin Basketball,75,,,
Sun Oct 8 2023,AS Monaco,75,,Cholet Basket,69,,,
Sun Oct 8 2023,Metropolitans 92,86,,Paris Basketball,93,,,
Sun Oct 8 2023,SLUC Nancy Basket,64,,LDLC ASVEL,89,,,
Tue Oct 10 2023,SIG Strasbourg,90,,Cholet Basket,78,,,
Sat Oct 14 2023,Jeanne d'Arc Dijon Basket,84,,Blois,85,,,
Sat Oct 14 2023,Le Mans Sarthe Basket,68,,Élan Sportif Chalonnais,73,,,
Sat Oct 14 2023,Saint-Quentin Basketball,78,,BCM Gravelines-Dunkerque,69,,,
Sat Oct 14 2023,Cholet Basket,90,,Limoges CSP,81,,,
Sat Oct 14 2023,Metropolitans 92,69,,SLUC Nancy Basket,85,,,
Sat Oct 14 2023,ESSM Le Portel,90,,Paris Basketball,86,,,
Sat Oct 14 2023,SIG Strasbourg,98,,Chorale Roanne Basket,82,,,
Sun Oct 15 2023,JL Bourg,67,,AS Monaco,78,,,
Sun Oct 15 2023,LDLC ASVEL,81,,Nanterre 92,85,,,
Sat Oct 21 2023,Limoges CSP,67,,JL Bourg,77,,,
Sat Oct 21 2023,Élan Sportif Chalonnais,66,,Jeanne d'Arc Dijon Basket,73,,,
Sat Oct 21 2023,Cholet Basket,88,,Le Mans Sarthe Basket,85,,OT,
Sat Oct 21 2023,Paris Basketball,98,,Nanterre 92,67,,,
Sat Oct 21 2023,Blois,87,,Metropolitans 92,81,,,
Sat Oct 21 2023,SLUC Nancy Basket,78,,Saint-Quentin Basketball,71,,,
