Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Sep 29 2023,Bahçeşehir Koleji,88,,Manisa BB,90,,,
Sat Sep 30 2023,ONVO Büyükçekmece,78,,Anadolu Efes,89,,,
Sat Sep 30 2023,Galatasaray Nef,93,,Yukatel Merkezefendi Basket,77,,,
Sat Sep 30 2023,Reeder Samsunspor,91,,Tofaş,104,,,
Sat Sep 30 2023,Bursaspor İnfo Yatırım,68,,Türk Telekom,72,,,
Sun Oct 1 2023,Pınar Karşıyaka,69,,Petkim Spor,81,,,
Sun Oct 1 2023,Beşiktaş Emlakjet,61,,Darüşşafaka Lassa,64,,,
Sun Oct 1 2023,Çağdaş Bodrumspor,58,,Fenerbahçe Beko,95,,,
Fri Oct 6 2023,Yukatel Merkezefendi Basket,85,,Reeder Samsunspor,95,,,
Sat Oct 7 2023,Petkim Spor,80,,Bahçeşehir Koleji,91,,,
Sat Oct 7 2023,Darüşşafaka Lassa,64,,Bursaspor İnfo Yatırım,68,,,
Sat Oct 7 2023,Türk Telekom,83,,ONVO Büyükçekmece,84,,,
Sun Oct 8 2023,Tofaş,54,,Beşiktaş Emlakjet,69,,,
Sun Oct 8 2023,Anadolu Efes,87,,Çağdaş Bodrumspor,75,,,
Sun Oct 8 2023,Manisa BB,81,,Galatasaray Nef,85,,,
Mon Oct 9 2023,Fenerbahçe Beko,79,,Pınar Karşıyaka,84,,,
Fri Oct 13 2023,Tofaş,97,,Yukatel Merkezefendi Basket,93,,,
Sat Oct 14 2023,Pınar Karşıyaka,85,,Anadolu Efes,101,,,
Sat Oct 14 2023,Beşiktaş Emlakjet,76,,Bursaspor İnfo Yatırım,82,,OT,
Sat Oct 14 2023,ONVO Büyükçekmece,80,,Darüşşafaka Lassa,84,,,
Sat Oct 14 2023,Reeder Samsunspor,60,,Manisa BB,90,,,
Sun Oct 15 2023,Galatasaray Nef,74,,Petkim Spor,76,,,
Sun Oct 15 2023,Çağdaş Bodrumspor,60,,Türk Telekom,73,,,
Sun Oct 15 2023,Bahçeşehir Koleji,98,,Fenerbahçe Beko,113,,,
Fri Oct 20 2023,Petkim Spor,81,,Reeder Samsunspor,67,,,
Sat Oct 21 2023,Yukatel Merkezefendi Basket,58,,Beşiktaş Emlakjet,79,,,
Sat Oct 21 2023,Darüşşafaka Lassa,73,,Çağdaş Bodrumspor,89,,,
Sat Oct 21 2023,Türk Telekom,80,,Pınar Karşıyaka,100,,,
Sun Oct 22 2023,Anadolu Efes,87,,Bahçeşehir Koleji,80,,,
Sun Oct 22 2023,Bursaspor İnfo Yatırım,70,,ONVO Büyükçekmece,75,,,
Sun Oct 22 2023,Fenerbahçe Beko,74,,Galatasaray Nef,62,,,
Sun Oct 22 2023,Manisa BB,89,,Tofaş,77,,,
Sat Oct 28 2023,Beşiktaş Emlakjet,86,,ONVO Büyükçekmece,70,,,
Sat Oct 28 2023,Pınar Karşıyaka,78,,Darüşşafaka Lassa,83,,,
Sat Oct 28 2023,Tofaş,100,,Petkim Spor,107,,OT,
Sat Oct 28 2023,Bahçeşehir Koleji,95,,Türk Telekom,92,,,
Sun Oct 29 2023,Galatasaray Nef,95,,Anadolu Efes,76,,,
Sun Oct 29 2023,Yukatel Merkezefendi Basket,76,,Manisa BB,93,,,
Sun Oct 29 2023,Reeder Samsunspor,53,,Fenerbahçe Beko,83,,,
Sun Oct 29 2023,Çağdaş Bodrumspor,69,,Bursaspor İnfo Yatırım,83,,,
Sat Nov 4 2023,Darüşşafaka Lassa,93,,Bahçeşehir Koleji,86,,,
Sat Nov 4 2023,Manisa BB,73,,Beşiktaş Emlakjet,76,,,
Sat Nov 4 2023,ONVO Büyükçekmece,79,,Çağdaş Bodrumspor,83,,OT,
Sun Nov 5 2023,Türk Telekom,76,,Galatasaray Nef,75,,,
Sun Nov 5 2023,Bursaspor İnfo Yatırım,75,,Pınar Karşıyaka,95,,,
Sun Nov 5 2023,Anadolu Efes,93,,Reeder Samsunspor,73,,,
Sun Nov 5 2023,Fenerbahçe Beko,95,,Tofaş,86,,,
Mon Nov 6 2023,Petkim Spor,61,,Yukatel Merkezefendi Basket,63,,,
Fri Nov 10 2023,Pınar Karşıyaka,93,,ONVO Büyükçekmece,75,,,
Sat Nov 11 2023,Tofaş,75,,Anadolu Efes,85,,,
Sat Nov 11 2023,Galatasaray Nef,72,,Darüşşafaka Lassa,75,,,
Sat Nov 11 2023,Reeder Samsunspor,69,,Türk Telekom,89,,,
Sat Nov 11 2023,Yukatel Merkezefendi Basket,64,,Fenerbahçe Beko,90,,,
Sun Nov 12 2023,Beşiktaş Emlakjet,90,,Çağdaş Bodrumspor,82,,,
Sun Nov 12 2023,Bahçeşehir Koleji,91,,Bursaspor İnfo Yatırım,104,,,
Sun Nov 12 2023,Manisa BB,74,,Petkim Spor,94,,,
Fri Nov 17 2023,Bursaspor İnfo Yatırım,82,,Galatasaray Nef,80,,,
Sat Nov 18 2023,Petkim Spor,62,,Beşiktaş Emlakjet,66,,,
Sat Nov 18 2023,Darüşşafaka Lassa,98,,Reeder Samsunspor,90,,,
Sat Nov 18 2023,Türk Telekom,62,,Tofaş,79,,,
Sun Nov 19 2023,ONVO Büyükçekmece,90,,Bahçeşehir Koleji,98,,,
Sun Nov 19 2023,Anadolu Efes,79,,Yukatel Merkezefendi Basket,64,,,
Sun Nov 19 2023,Fenerbahçe Beko,82,,Manisa BB,69,,,
Mon Nov 20 2023,Çağdaş Bodrumspor,82,,Pınar Karşıyaka,90,,,
Sat Nov 25 2023,Bahçeşehir Koleji,80,,Çağdaş Bodrumspor,74,,,
Sat Nov 25 2023,Galatasaray Nef,70,,ONVO Büyükçekmece,61,,,
Sat Nov 25 2023,Beşiktaş Emlakjet,85,,Pınar Karşıyaka,94,,,
